index,workclass,education,marital.status,occupation,cluster
99,Private,Doctorate,Married-civ-spouse,Prof-specialty,0
100,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
101,Private,Doctorate,Married-civ-spouse,Prof-specialty,0
102,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
103,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
104,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,0
105,Private,Bachelors,Married-civ-spouse,Sales,0
106,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
107,Private,Some-college,Married-civ-spouse,Sales,0
108,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
109,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
110,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
111,Private,Bachelors,Widowed,Exec-managerial,0
112,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
113,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,0
115,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,0
116,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
117,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
118,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
119,Private,Masters,Married-civ-spouse,Exec-managerial,0
120,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,0
121,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,0
122,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,0
123,Private,HS-grad,Married-civ-spouse,Prof-specialty,0
124,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,0
125,Private,Some-college,Married-civ-spouse,Adm-clerical,1
126,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,0
127,Private,HS-grad,Married-civ-spouse,Sales,0
128,Private,HS-grad,Married-civ-spouse,Exec-managerial,0
129,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,0
130,Private,HS-grad,Married-civ-spouse,Exec-managerial,0
131,Private,Some-college,Married-civ-spouse,Sales,0
132,State-gov,Masters,Married-civ-spouse,Prof-specialty,0
134,Private,HS-grad,Married-civ-spouse,Sales,0
135,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,0
137,Private,Some-college,Married-civ-spouse,Exec-managerial,0
138,Private,HS-grad,Married-civ-spouse,Craft-repair,0
139,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
140,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
141,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
142,Private,5th-6th,Divorced,Craft-repair,0
143,Local-gov,Bachelors,Never-married,Prof-specialty,1
144,Local-gov,HS-grad,Widowed,Farming-fishing,0
145,Private,5th-6th,Never-married,Handlers-cleaners,1
146,State-gov,Bachelors,Divorced,Prof-specialty,0
147,Self-emp-inc,Some-college,Divorced,Exec-managerial,1
148,Private,Bachelors,Married-spouse-absent,Machine-op-inspct,0
149,Private,Bachelors,Never-married,Prof-specialty,1
150,Private,Some-college,Never-married,Adm-clerical,1
151,Local-gov,HS-grad,Separated,Protective-serv,0
152,State-gov,Some-college,Separated,Exec-managerial,1
154,Self-emp-not-inc,Masters,Divorced,Sales,0
155,Private,HS-grad,Divorced,Craft-repair,0
156,Private,HS-grad,Never-married,Adm-clerical,1
157,Private,Prof-school,Never-married,Prof-specialty,1
158,Self-emp-not-inc,Prof-school,Divorced,Other-service,0
159,Private,Bachelors,Widowed,Prof-specialty,0
160,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0
161,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,0
162,Local-gov,Masters,Married-civ-spouse,Prof-specialty,0
163,Federal-gov,HS-grad,Never-married,Adm-clerical,1
164,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,1
165,Private,HS-grad,Divorced,Craft-repair,0
166,Self-emp-not-inc,Some-college,Never-married,Sales,1
167,Private,Bachelors,Never-married,Tech-support,1
168,Private,Some-college,Separated,Machine-op-inspct,1
169,State-gov,Assoc-acdm,Divorced,Adm-clerical,1
170,Private,Bachelors,Never-married,Exec-managerial,1
171,Federal-gov,Bachelors,Never-married,Adm-clerical,1
172,Private,HS-grad,Never-married,Craft-repair,0
173,Private,Bachelors,Divorced,Exec-managerial,0
174,Private,Bachelors,Never-married,Exec-managerial,1
175,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,0
176,Private,Bachelors,Never-married,Prof-specialty,1
177,Private,Masters,Never-married,Prof-specialty,1
178,Private,12th,Divorced,Craft-repair,0
179,Local-gov,Masters,Never-married,Prof-specialty,1
180,Private,Some-college,Widowed,Adm-clerical,1
181,Private,HS-grad,Never-married,Exec-managerial,0
182,Federal-gov,Bachelors,Divorced,Tech-support,0
183,State-gov,Doctorate,Never-married,Exec-managerial,1
184,Self-emp-inc,Some-college,Never-married,Sales,1
185,Private,Some-college,Widowed,Farming-fishing,1
186,Private,HS-grad,Divorced,Farming-fishing,0
187,Private,HS-grad,Divorced,Exec-managerial,0
188,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
189,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,0
190,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,0
191,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,0
192,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
193,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
194,Private,HS-grad,Separated,Machine-op-inspct,0
195,Private,10th,Widowed,Adm-clerical,1
196,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,1
197,Local-gov,9th,Widowed,Handlers-cleaners,0
198,Local-gov,Some-college,Never-married,Protective-serv,1
199,Private,HS-grad,Never-married,Other-service,0
200,Private,HS-grad,Widowed,Adm-clerical,0
201,Private,HS-grad,Divorced,Adm-clerical,0
203,Private,Bachelors,Divorced,Exec-managerial,0
204,Local-gov,Bachelors,Widowed,Prof-specialty,0
205,Private,Some-college,Never-married,Adm-clerical,1
206,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,1
207,Private,Some-college,Never-married,Adm-clerical,1
208,Private,Assoc-acdm,Never-married,Other-service,1
209,Private,HS-grad,Divorced,Craft-repair,0
210,Private,Some-college,Never-married,Other-service,1
211,Private,Some-college,Never-married,Machine-op-inspct,1
212,Private,7th-8th,Never-married,Handlers-cleaners,1
214,Self-emp-inc,Masters,Divorced,Exec-managerial,0
215,Private,11th,Married-civ-spouse,Craft-repair,0
216,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,0
217,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,0
218,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,0
219,Self-emp-not-inc,1st-4th,Married-civ-spouse,Transport-moving,0
220,State-gov,Some-college,Married-civ-spouse,Exec-managerial,0
221,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
222,Private,HS-grad,Married-civ-spouse,Transport-moving,0
223,Private,HS-grad,Married-civ-spouse,Adm-clerical,0
224,Private,10th,Married-civ-spouse,Sales,0
225,Private,Some-college,Married-civ-spouse,Machine-op-inspct,0
226,Self-emp-not-inc,5th-6th,Married-civ-spouse,Sales,0
228,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,0
229,Private,Some-college,Married-civ-spouse,Transport-moving,0
231,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,0
232,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0
233,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
234,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,0
235,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,0
236,Private,Some-college,Married-civ-spouse,Prof-specialty,0
238,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,0
239,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,0
240,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,0
241,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,0
242,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,0
243,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,1
244,Private,Masters,Married-civ-spouse,Prof-specialty,0
245,Private,HS-grad,Married-civ-spouse,Transport-moving,0
246,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,0
247,Private,11th,Married-civ-spouse,Craft-repair,0
248,Private,HS-grad,Married-civ-spouse,Adm-clerical,0
249,Private,Some-college,Married-civ-spouse,Adm-clerical,1
250,Private,HS-grad,Married-civ-spouse,Craft-repair,0
251,Private,Some-college,Married-civ-spouse,Craft-repair,0
252,Private,Some-college,Married-civ-spouse,Adm-clerical,1
253,Private,HS-grad,Married-civ-spouse,Transport-moving,0
254,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0
255,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
256,Private,Some-college,Married-civ-spouse,Adm-clerical,1
257,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,0
258,Private,Some-college,Married-civ-spouse,Craft-repair,0
259,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,0
260,Private,Some-college,Married-civ-spouse,Sales,0
261,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0
262,Private,HS-grad,Married-civ-spouse,Craft-repair,0
263,Private,HS-grad,Married-civ-spouse,Craft-repair,0
264,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0
265,Private,Assoc-voc,Married-civ-spouse,Tech-support,0
266,Private,HS-grad,Married-civ-spouse,Craft-repair,0
267,Private,HS-grad,Married-civ-spouse,Transport-moving,0
268,Private,HS-grad,Married-civ-spouse,Craft-repair,0
269,Private,10th,Married-civ-spouse,Craft-repair,0
270,Private,HS-grad,Married-civ-spouse,Craft-repair,0
271,Private,11th,Married-civ-spouse,Transport-moving,0
272,Private,Some-college,Married-civ-spouse,Handlers-cleaners,0
273,Private,Some-college,Married-civ-spouse,Sales,0
274,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0
275,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,0
276,Private,Assoc-acdm,Married-civ-spouse,Tech-support,0
277,Private,7th-8th,Married-civ-spouse,Farming-fishing,0
278,Private,11th,Married-civ-spouse,Craft-repair,0
279,Private,HS-grad,Married-civ-spouse,Protective-serv,0
280,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0
281,Local-gov,HS-grad,Married-civ-spouse,Other-service,0
282,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,0
283,Private,11th,Married-civ-spouse,Transport-moving,0
284,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,0
285,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,0
286,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,0
287,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,0
288,Private,Assoc-voc,Married-civ-spouse,Craft-repair,0
289,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
290,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,0
292,Private,HS-grad,Married-civ-spouse,Craft-repair,0
293,Private,HS-grad,Married-civ-spouse,Craft-repair,0
294,Private,Bachelors,Married-civ-spouse,Sales,0
295,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,0
296,Private,HS-grad,Married-civ-spouse,Transport-moving,0
297,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0
298,Private,HS-grad,Married-civ-spouse,Transport-moving,0
299,Private,HS-grad,Married-civ-spouse,Sales,0
300,Self-emp-not-inc,Doctorate,Married-civ-spouse,Transport-moving,0
302,Private,HS-grad,Never-married,Adm-clerical,1
303,Private,HS-grad,Never-married,Other-service,0
304,Federal-gov,Masters,Divorced,Adm-clerical,1
305,Private,11th,Never-married,Craft-repair,0
306,Private,Bachelors,Never-married,Handlers-cleaners,1
307,Private,Assoc-acdm,Never-married,Tech-support,1
308,Private,HS-grad,Never-married,Other-service,0
309,Private,HS-grad,Never-married,Adm-clerical,1
311,Self-emp-not-inc,Some-college,Divorced,Craft-repair,0
312,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,0
313,Private,HS-grad,Never-married,Craft-repair,0
314,Private,Some-college,Never-married,Adm-clerical,1
315,Private,HS-grad,Never-married,Adm-clerical,1
316,Federal-gov,Bachelors,Never-married,Transport-moving,1
317,Local-gov,Some-college,Never-married,Other-service,1
318,Private,HS-grad,Never-married,Machine-op-inspct,0
319,Private,HS-grad,Never-married,Adm-clerical,1
321,Private,HS-grad,Separated,Adm-clerical,0
322,Private,Bachelors,Never-married,Other-service,1
323,Private,HS-grad,Never-married,Farming-fishing,0
324,Private,HS-grad,Never-married,Other-service,0
325,Private,HS-grad,Never-married,Other-service,0
326,Private,Some-college,Never-married,Craft-repair,1
327,Private,Bachelors,Divorced,Sales,0
328,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,0
329,Federal-gov,HS-grad,Never-married,Craft-repair,0
330,Local-gov,Assoc-acdm,Never-married,Adm-clerical,1
331,Private,HS-grad,Divorced,Transport-moving,0
332,Private,Some-college,Separated,Exec-managerial,1
333,Private,Bachelors,Divorced,Sales,0
334,Private,Bachelors,Never-married,Tech-support,1
335,Federal-gov,HS-grad,Never-married,Adm-clerical,1
336,Private,10th,Widowed,Other-service,0
337,Private,Masters,Divorced,Adm-clerical,1
338,Private,HS-grad,Divorced,Machine-op-inspct,0
339,Private,Assoc-voc,Never-married,Transport-moving,1
340,Private,HS-grad,Never-married,Sales,0
341,Private,Some-college,Separated,Tech-support,1
342,Private,Some-college,Never-married,Adm-clerical,1
343,Private,HS-grad,Never-married,Transport-moving,0
344,Private,Some-college,Divorced,Exec-managerial,1
345,Private,HS-grad,Divorced,Other-service,0
346,Private,HS-grad,Never-married,Adm-clerical,1
347,Private,10th,Never-married,Sales,1
348,Private,Some-college,Married-civ-spouse,Sales,0
349,Private,Assoc-acdm,Married-civ-spouse,Tech-support,0
350,Private,Masters,Married-civ-spouse,Exec-managerial,0
351,Private,Masters,Married-civ-spouse,Exec-managerial,0
352,Private,Assoc-voc,Married-civ-spouse,Craft-repair,0
353,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
354,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
355,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,0
356,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
357,Private,Bachelors,Married-civ-spouse,Sales,0
358,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,0
359,Local-gov,Masters,Married-civ-spouse,Exec-managerial,0
360,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,0
361,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
362,Local-gov,Masters,Married-civ-spouse,Exec-managerial,0
363,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
364,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
365,Private,Prof-school,Married-civ-spouse,Tech-support,0
366,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,0
367,Private,Masters,Married-civ-spouse,Exec-managerial,0
368,Private,10th,Married-civ-spouse,Sales,0
369,Private,Masters,Married-civ-spouse,Exec-managerial,0
370,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,0
371,Private,Masters,Married-civ-spouse,Craft-repair,0
372,Private,Masters,Married-civ-spouse,Exec-managerial,0
373,Private,Assoc-voc,Married-civ-spouse,Sales,0
374,Private,Masters,Married-civ-spouse,Prof-specialty,0
375,Private,HS-grad,Married-civ-spouse,Prof-specialty,0
376,Private,Masters,Married-civ-spouse,Exec-managerial,0
377,Private,Doctorate,Married-civ-spouse,Prof-specialty,0
378,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
379,Private,Masters,Married-civ-spouse,Exec-managerial,0
380,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
381,Private,Doctorate,Married-civ-spouse,Prof-specialty,0
382,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
383,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,0
384,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0
385,State-gov,Masters,Married-civ-spouse,Prof-specialty,0
386,Private,HS-grad,Married-civ-spouse,Transport-moving,0
387,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
388,Local-gov,Masters,Married-civ-spouse,Prof-specialty,0
389,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,0
390,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,0
391,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
392,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
393,Private,Bachelors,Married-civ-spouse,Sales,0
394,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
395,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,0
396,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
397,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
398,Private,Bachelors,Married-civ-spouse,Sales,0
399,Federal-gov,Some-college,Married-civ-spouse,Handlers-cleaners,0
400,Private,Some-college,Married-civ-spouse,Exec-managerial,0
401,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
402,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
403,Local-gov,Masters,Married-civ-spouse,Exec-managerial,0
404,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,0
405,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
406,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,0
407,Private,Masters,Married-civ-spouse,Protective-serv,0
408,Private,Masters,Married-civ-spouse,Tech-support,0
409,Private,HS-grad,Married-civ-spouse,Sales,0
410,Private,Some-college,Married-civ-spouse,Exec-managerial,0
411,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,0
412,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,0
413,Local-gov,Masters,Married-civ-spouse,Exec-managerial,0
414,Private,Masters,Married-civ-spouse,Tech-support,0
415,Private,Masters,Married-civ-spouse,Prof-specialty,0
416,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
417,Private,Masters,Married-civ-spouse,Prof-specialty,0
418,Private,Some-college,Married-civ-spouse,Prof-specialty,0
419,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,0
420,Private,HS-grad,Married-civ-spouse,Craft-repair,0
421,Private,Doctorate,Married-civ-spouse,Prof-specialty,0
422,Private,Bachelors,Married-civ-spouse,Tech-support,0
423,Private,Masters,Married-civ-spouse,Exec-managerial,0
424,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
425,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,0
426,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0
427,Local-gov,Masters,Married-civ-spouse,Prof-specialty,0
428,Private,Masters,Married-civ-spouse,Prof-specialty,0
429,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
430,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
431,Private,Masters,Married-civ-spouse,Prof-specialty,0
432,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
433,Private,Bachelors,Married-civ-spouse,Sales,0
434,Private,Masters,Married-civ-spouse,Exec-managerial,0
435,Local-gov,Masters,Married-civ-spouse,Prof-specialty,0
436,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
437,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,0
438,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
439,Local-gov,Masters,Married-civ-spouse,Prof-specialty,0
440,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
441,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
442,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,0
443,Private,Some-college,Married-civ-spouse,Exec-managerial,0
444,Private,Bachelors,Married-civ-spouse,Sales,0
445,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,0
446,Private,Masters,Married-civ-spouse,Exec-managerial,0
447,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0
448,Private,Bachelors,Married-civ-spouse,Transport-moving,0
449,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
450,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
451,Private,Masters,Married-civ-spouse,Exec-managerial,0
452,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,0
453,Private,Assoc-acdm,Married-civ-spouse,Sales,0
454,Private,Bachelors,Married-civ-spouse,Sales,0
455,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0
456,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,0
457,Private,Masters,Married-civ-spouse,Exec-managerial,0
458,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
459,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
460,State-gov,Masters,Married-civ-spouse,Prof-specialty,0
461,Private,Some-college,Married-civ-spouse,Exec-managerial,0
462,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
463,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,0
464,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,0
465,Private,Masters,Married-civ-spouse,Exec-managerial,0
466,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0
467,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
468,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
469,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,0
470,Local-gov,Masters,Married-civ-spouse,Prof-specialty,0
471,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,0
472,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
473,Private,Bachelors,Married-civ-spouse,Sales,0
474,Private,Masters,Married-civ-spouse,Prof-specialty,0
475,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
476,Private,Some-college,Married-civ-spouse,Craft-repair,0
477,Private,HS-grad,Married-civ-spouse,Sales,0
478,Private,Doctorate,Married-civ-spouse,Prof-specialty,0
479,Self-emp-inc,7th-8th,Married-civ-spouse,Craft-repair,0
